image_file,prompt,clip_t_prompt
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream00.png,"A cartoon tiger dressed in a blue police uniform with a cap and a bow tie, holding a skateboard with a yin-yang symbol. The tiger has bright, large eyes and striped fur, standing against a simple, light-colored background.",0.3159791827201843
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream01.png,"A cute cartoon tiger dressed as a police officer, wearing a blue uniform and cap, holding a skateboard with a yin-yang symbol, big expressive eyes, distinct orange and black stripes, plain light background.",0.33866894245147705
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream02.png,"A cartoon tiger with orange and black stripes, wearing a blue police uniform and a black cap. The tiger has large, cute eyes and a friendly expression, holding a skateboard with a yin-yang design. The background is plain white, emphasizing the character.",0.3157797157764435
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream03.png,"A cute cartoon tiger character with orange and black stripes, wearing a blue police uniform and cap, holding a skateboard with a yin-yang symbol, smiling, large expressive eyes, standing on a plain light background.",0.3279932737350464
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream04.png,"A cute cartoon tiger in a police uniform, wearing a hat, holding a skateboard with a yin-yang design, standing on a plain light background.",0.30269256234169006
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream05.png,"A cute cartoon tiger with orange and black stripes, dressed in a police officer uniform, holding a skateboard with a yin-yang symbol. The tiger stands confidently, smiling, against a plain background.",0.33916258811950684
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter002_stream00.png,"A cartoon tiger with bright eyes and detailed striped fur, wearing a blue police uniform with a cap and bow tie, standing proudly with a skateboard featuring a yin-yang symbol. The tiger should have an inviting smile, holding the skateboard close, showcasing its personality against a plain, light-colored background.",0.36210551857948303
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter002_stream01.png,"A cute cartoon tiger dressed as a police officer, wearing a blue uniform and cap with a badge, holding a skateboard with a clear yin-yang symbol, big expressive eyes and distinct orange and black stripes, light plain background.",0.34408941864967346
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter002_stream02.png,"A cute cartoon tiger with bright orange and black stripes, dressed in a blue police uniform and a black cap. The tiger has large, expressive blue eyes and a joyful expression. It holds a skateboard featuring a prominent yin-yang design. The background is plain white, making the character stand out.",0.34372904896736145
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter002_stream03.png,"A cute cartoon tiger character with orange and black stripes, wearing a police uniform in dark blue with a cap, smiling widely, holding a skateboard featuring a yin-yang symbol, standing upright against a light background, showcasing a happy and playful demeanor.",0.2878173291683197
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter002_stream04.png,"A cute cartoon tiger character wearing a police uniform with a cap, holding a skateboard decorated with a large yin-yang symbol. The tiger has big expressive eyes and a friendly smile, standing on a plain light background.",0.3748026192188263
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter002_stream05.png,"A happy cartoon tiger with orange and black stripes, wearing a police officer uniform, holding a grey skateboard featuring a black yin-yang symbol. The tiger stands confidently with a wide smile, against a simple light background.",0.3172290027141571
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter003_stream00.png,"A cartoon tiger with bright, large eyes and striped fur, wearing a blue police uniform with a cap featuring a badge and a red bow tie, standing confidently while holding a skateboard that has a distinct yin-yang symbol. The tiger should have a joyful expression, showcasing its personality, against a plain light-colored background.",0.2956202030181885
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter003_stream01.png,"A cute cartoon tiger dressed as a police officer, standing still, wearing a blue uniform and cap with a logo, holding a gray skateboard with a clear yin-yang symbol, big expressive eyes and distinct orange and black stripes, light plain background.",0.34319812059402466
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter003_stream02.png,"A cartoon tiger with distinct orange and black stripes, wearing a blue police uniform and a black cap. The tiger has large, friendly blue eyes and a calm expression, holding a skateboard featuring a black yin-yang design. The tiger stands still, and the background is plain white for better focus on the character.",0.3711658716201782
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter003_stream03.png,"A cute cartoon tiger with vibrant orange and black stripes, wearing a dark blue police uniform and cap, smiling pleasantly, holding a skateboard featuring a distinct yin-yang symbol, standing upright against a light-colored background, embodying a playful and friendly demeanor.",0.3841635286808014
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter003_stream04.png,"A cheerful cartoon tiger character in a detailed police uniform with a cap, joyfully holding a skateboard with a large yin-yang symbol on it. The tiger is standing in a dynamic pose, showcasing its playful nature, against a simple light background.",0.35399502515792847
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter003_stream05.png,"A cheerful cartoon tiger with vibrant orange and black stripes, wearing a detailed police officer uniform with a badge, holding a grey skateboard featuring a prominent black yin-yang symbol. The tiger stands proudly against a light cream background, emphasizing its friendly demeanor.",0.35302719473838806
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter004_stream00.png,"A cartoon tiger with vibrant, large eyes, wearing a blue police uniform that has a detailed badge, a cap, and a red bow tie. The tiger should be joyfully holding a skateboard with a clear yin-yang symbol on it. The character should exhibit a playful expression, with striking striped fur, set against a plain light-colored background.",0.38427481055259705
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter004_stream01.png,"A cute cartoon tiger dressed as a police officer, standing still with a friendly expression, wearing a blue uniform and cap with a badge, holding a sharply detailed gray skateboard featuring a distinct yin-yang symbol, big expressive eyes and vibrant orange and black stripes, light plain background.",0.36140403151512146
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter004_stream02.png,"A cartoon tiger with vibrant orange and black stripes, wearing a blue police uniform and a black cap. The tiger has large, friendly blue eyes and a calm expression, holding a skateboard with a clear black yin-yang design in both hands. The tiger stands still against a plain white background.",0.31565600633621216
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter004_stream03.png,"A cute cartoon tiger with vibrant orange and black stripes, wearing a blue police uniform with a matching cap, smiling broadly with large, expressive eyes, holding a skateboard with a distinct yin-yang design, standing upright against a plain light background, showcasing a playful and friendly demeanor.",0.35474878549575806
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter004_stream04.png,"A cheerful cartoon tiger character wearing a blue police uniform with a cap, joyfully holding a black skateboard featuring a large yin-yang symbol. The tiger has a big smile, expressive eyes, and is standing confidently on a simple light background.",0.3542885482311249
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter004_stream05.png,"A cartoon tiger with orange and black stripes, cheerfully wearing a detailed police officer uniform, including a dark blue cap with a badge. The tiger holds a grey skateboard featuring a prominent black yin-yang symbol. The tiger has a friendly smile and stands confidently against a simple light background, showcasing its playful demeanor.",0.29387930035591125
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter005_stream00.png,"A cartoon tiger with large, expressive eyes and bright striped fur, joyfully wearing a blue police uniform with an identifiable badge and a cap, holding a skateboard that prominently displays a yin-yang symbol. The tiger should have a big smile and a red bow tie, showcasing a friendly demeanor against a simple, light-colored background.",0.39543941617012024
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter005_stream01.png,"A cute cartoon tiger dressed as a police officer, standing still in a formal pose, wearing a blue uniform and cap with a badge, holding a gray skateboard featuring a distinct yin-yang symbol, big friendly eyes and vibrant orange and black stripes, light plain background.",0.3525742292404175
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter005_stream02.png,"A cartoon tiger with vibrant orange and black stripes, wearing a blue police uniform with no badges and a black cap. The tiger has large, friendly blue eyes and a calm expression while holding a skateboard featuring a distinct black yin-yang design in both hands. The tiger stands still against a plain white background.",0.34834617376327515
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter005_stream03.png,"A cute cartoon tiger with vibrant orange and black stripes, wearing a dark blue police uniform and cap, smiling with large, bright eyes, holding a skateboard displaying a clear yin-yang design, standing upright against a light plain background, exuding a playful and friendly charm.",0.3539741039276123
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter005_stream04.png,"A happy cartoon tiger wearing a blue police uniform and cap, joyfully holding a skateboard featuring a large yin-yang symbol. The tiger has a broad smile and expressive eyes, standing confidently against a plain light background.",0.34006267786026
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter005_stream05.png,"A cheerful cartoon tiger with vibrant orange and black stripes, wearing a detailed police officer uniform complete with a blue cap featuring a badge. The tiger is holding a distinct grey skateboard prominently displaying a black yin-yang symbol. The tiger stands confidently against a light, plain background, showcasing its friendly, playful personality.",0.3641200363636017
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter006_stream00.png,"A cartoon tiger with bright, expressive eyes and detailed striped fur, standing confidently wearing a blue police uniform with a distinguished badge on the chest and a cap. The tiger holds a skateboard with a visible yin-yang symbol and should have a cheerful smile while being posed naturally without extending any limbs. The background should be plain and light-colored.",0.39036786556243896
