image_file,prompt,clip_t_prompt
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream00.png,"A tiger with orange and black stripes wearing a conductor's hat labeled 'TRAINMASTER,' holding a skateboard with a yin-yang design, standing at a vintage train station with an old steam train in the background, warm lighting, detailed fur texture.",0.36316847801208496
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream01.png,"A tiger dressed in a train conductor's cap with a badge, holding a skateboard featuring a yin-yang symbol, standing at a vintage railway station with a steam train in the background, warm sunset lighting.",0.31583279371261597
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream02.png,"A realistic tiger wearing a black train conductor's hat with a badge that says 'TRAINMASTER,' holding a wooden skateboard with a yin-yang design. The background shows a vintage steam train at a train station, bathed in warm, nostalgic lighting.",0.39124107360839844
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream03.png,"A large, majestic tiger dressed in a trainmaster's cap, holding a skateboard with a yin-yang design. The tiger is standing on a train station platform, with an old steam locomotive in the background. The lighting is warm and inviting, creating a nostalgic atmosphere. The tiger has a focused and confident expression.",0.3448526859283447
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream04.png,"A majestic tiger wearing a black trainmaster's cap labeled 'TRAINMASTER,' confidently holding a skateboard featuring a yin-yang symbol, standing at a vintage train station. A classic steam train is visible in the background, with warm, nostalgic lighting.",0.38692307472229004
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter001_stream05.png,"A large tiger with orange and black stripes wearing a black train conductor's hat with a badge that says 'TRAINMASTER', holding a wooden skateboard with a yin-yang symbol, standing on a train platform next to a vintage steam train in the background, brick buildings line the platform, warm late afternoon light.",0.3413030505180359
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter002_stream00.png,"A frontal view of a tiger with vibrant orange and black stripes wearing a blue conductor's hat labeled 'TRAINMASTER,' holding a skateboard with a yin-yang design. The tiger stands confidently at a vintage train station with a steaming old steam locomotive in the background, surrounded by architectural details. Warm lighting accentuates the scene, showcasing the tiger's expressive face and textured fur.",0.33199989795684814
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter002_stream01.png,"A tiger standing upright, facing forward with a serious expression, wearing a train conductor's cap with a badge reading 'TRAINMASTER,' holding a skateboard with a prominent yin-yang design, set in a vintage railway station with a steam train emitting smoke in the background, during a warm sunset.",0.373862087726593
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter002_stream02.png,"A realistic tiger wearing a black train conductor's hat with a badge that says 'TRAINMASTER,' holding a wooden skateboard with a yin-yang design prominently in its paws. The background features a vintage steam train at a train station, with warm, nostalgic lighting and benches in the scene.",0.37264716625213623
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter002_stream03.png,"A large tiger dressed in a TRAINMASTER cap, standing confidently on a train station platform. It holds a skateboard featuring a distinct yin-yang design. In the background, an authentic steam locomotive emits smoke, with warm lighting illuminating the scene. The tiger has a determined expression, showcasing its fur pattern and features prominently.",0.32552409172058105
candidate_images/01_Portrait_of_a_tiger_wearing_a_train_conductors_hat_and_hold_0_iter002_stream04.png,"A majestic tiger in a black trainmaster's cap labeled 'TRAINMASTER', confidently holding a skateboard with a yin-yang design, posed in a vintage train station with an intricate steam train in the background. The lighting is warm and nostalgic, highlighting a classic railway setting, with wooden benches and large arched windows.",0.3443058729171753
